API_COUNTY,API_NUMBER,COUNTY_CODE,SECTION,TOWNSHIP,RANGE,LEASE_NAME,WELL_NUMBER,STATUS,QUARTER4,QUARTER3,QUARTER2,QUARTER1,WELL_TYPE,MAXPRESSURE,MAXRATE,LAST_MIT_DATE,FORMATION,FORMATION_TOP_DEPTH,FORMATION_BOTTOM_DEPTH,PACKERDEPTH,ORDER_NUMBER,LATITUDE,LONGITUDE,OPERATOR#,OPERATOR,STIPULATIONS,                                                                                                       
25,20104,25,26,03N,09E,SMKSU (OTIS HANES 13)         ,13,TM,    ,NW  ,SW  ,SE  ,2R ,200,500,10/22/02,LANSING                                 ,3772,3792,3708,368565,36.69206,-102.0569,21068,WEGO SERVICES INC                       ,                                                                                       ,
25,35323,25,26,01N,09E,HAWKINS  H S                  ,2,PA,    ,C   ,NW  ,SE  ,2D ,300,150,          ,TOPEKA & MASSIVE LIME                   ,3362,3446,3312,422128,36.520763,-102.0557,13734,TEXACO EXPLORATION & PROD INC           ,                                                                                       ,
25,20226,25,1,03N,09E,CAREY-GOWDY UNIT              ,8,PA,    ,NW  ,SE  ,SE  ,2D ,1000,400,9/7/05,MORROW                                  ,4635,4654,4600,357714,36.750001,-102.0343,21003,XTO ENERGY INC                          ,                                                                                       ,
0,0,139,35,05N,13E,WEST HOUGH MORROW UNIT  (TERM),19,TM,    ,    ,SE  ,NE  ,2R ,2500,2000,          ,MORROW                                  ,6072,6202,5972,11091,36.857617,-101.616,1489,EXXONMOBIL OIL CORPORATION              ,                                                                                       ,
7,36079,7,33,01N,20E,CAMRICK UNIT (L BRANSGROVE 3) ,3311,AC,    ,    ,SE  ,NE  ,2R ,2000,710,3/27/12,UPPER MORROW SAND                       ,7352,7372,7300,82652,36.508321,-100.9048,16896,CHAPARRAL ENERGY LLC                    ,                                                                                       ,
7,35923,7,22,01N,20E,CAMRICK UNIT                  ,2271,AC,    ,    ,NW  ,SE  ,2R ,2000,565,5/14/08,UPPER MORROW SAND                       ,7296,7400,7280,80974,36.53377,-100.8913,16896,CHAPARRAL ENERGY LLC                    ,                                                                                       ,
7,21250,7,19,02N,21E,ANNA BRYAN                    ,2,AC,    ,S2  ,SW  ,SW  ,2D ,500,2000,3/6/12,WOLFCAMP SAND                           ,3130,4200,3130,414169,36.616445,-100.8462,15484,H & L DISPOSAL WELLS INC                ,                                                                                       ,
7,21916,7,6,03N,21E,STICKLER                    24, 359-2 ,AC,    ,   C,SW  ,NE  ,2R ,2000,2200,7/23/09,LOWER MIDDLE CHESTER                    ,6591,6618,6550,389473,36.755116,-100.8372,16896,CHAPARRAL ENERGY LLC                    ,                                                                                       ,
7,23946,7,16,05N,22E,CARTER                        , 2-16  ,PA,    ,C   ,NW  ,NW  ,2D ,1000,2000,3/31/08,RED CAVE                                ,1528,1667,1606,380704,36.904758,-100.6907,17595,TRUEBLOOD RESOURCES INC                 ,                                                                                       ,
7,22115,7,30,04N,24E,NICHOLS                       ,2,TM,    ,SE  ,SW  ,SW  ,2D ,1000,10000,9/8/10,COUNCIL GROVE                           ,3740,3835,3650,395913,36.776649,-100.5207,13447,NICHOLS WATER SERVICE INC               ,                                                                                       ,
7,21423,7,31,04N,24E,BARBY                         ,1,TM,    ,    ,SW  ,NE  ,2D ,500,1000,3/13/03,MARMATON                                ,5804,5806,5758,424015,36.770305,-100.5128,20594,BEELER P F LLC                          ,                                                                                       ,
7,30203,7,30,06N,24E,NICHOLS SWD                   ,3,AC,    ,SE  ,SW  ,NE  ,2D ,500,10000,10/12/11,CHASE/COUNCIL GROVE                     ,2790,3760,2700,407349,36.958506,-100.4999,13447,NICHOLS WATER SERVICE INC               ,                                                                                       ,
7,45358,7,21,03N,24E,STARCHER                      ,1,AC,    ,C   ,NW  ,SE  ,2D ,0,0,          ,                                        ,         ,         ,           ,450053,36.708696,-100.4768,4536,BETTIS BOYLE & STOVALL                  ,                                                                                       ,
7,22483,7,36,06N,24E,ADAMS                         , 2-36  ,PA,    ,SE  ,SE  ,NE  ,2D ,1500,4000,3/20/01,CHASE GROUP                             ,2700,2960,2600,247873,36.94404,-100.4051,16198,B & G PRODUCTION INC                    ,                                                                                       ,
7,22714,7,21,01N,25E,MEHNERT                       , A-3   ,AC,E2  ,W2  ,SE  ,SW  ,2D ,50,300,7/7/08,BROWN DOLOMITE                          ,3240,3500,3150,402536,36.531052,-100.3737,1701,CONOCOPHILLIPS COMPANY                  ,                                                                                       ,
7,36172,7,6,03N,27E,BARBY RANCH                   , 1-44  ,AC,    ,NE  ,NE  ,SW  ,2D ,0,500,2/2/10,COUNCIL GROVE                           ,3546,3600,3500,413702,36.752888,-100.1918,18246,CABOT OIL & GAS CORPORATION             ,                                                                                       ,
45,21547,45,26,18N,26W,DETRIXHE                      ,2,TM,    ,    ,C   ,SE  ,2R ,5500,3000,4/20/95,ATOKA                                   ,11462,11482,11340,352740,36.00306,-99.93966,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
9,20118,9,26,10N,26W,POSEY                         ,1,AC,    ,    ,C   ,SW  ,2D ,1000,2000,2/8/12,BROWN DOLOMITE                          ,4250,4900,4100,359622,35.309171,-99.92527,17441,CHESAPEAKE OPERATING INC                ,                                                                                       ,
45,21553,45,25,18N,26W,BARTON                        ,2,TM,    ,    ,C   ,NE  ,2R ,5500,3000,4/20/95,ATOKA                                   ,11335,11344,10890,359153,36.010345,-99.9218,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
45,21579,45,30,18N,25W,THAD MILLER                   ,1,TM,    ,SE  ,SW  ,NE  ,2R ,5500,3000,4/20/95,ATOKA                                   ,11266,11281,11226,352739,36.007656,-99.90505,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
59,35555,59,28,25N,25W,HARPER FARMS                  ,1,AC,    ,C   ,SE  ,NW  ,2D ,1400,5000,10/19/11,PER/PENN/MISSISSIPPI                    ,3050,4700,3025,404663,36.618187,-99.9014,22507,BULLDOG DISPOSAL INC                    ,                                                                                       ,
45,21557,45,29,18N,25W,APPEL                         ,1,TM,    ,NE  ,SW  ,SW  ,2R ,5500,9000,4/20/95,ATOKA                                   ,11278,11295,10721,353464,36.002245,-99.89611,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
45,20829,45,28,18N,25W,SHAU RICHARDS 28              ,1,TM,    ,    ,C   ,SW  ,2R ,6000,6000,4/20/95,ATOKA                                   ,11226,11244,0,364941,36.003176,-99.87713,6722,MEWBOURNE OIL COMPANY                   ,                                                                                       ,
9,20301,9,32,09N,25W,HEAD                          ,1,AC,    ,SE  ,NW  ,NW  ,2D ,800,4000,6/21/12,BROWN DOLOMITE                          ,3084,3126,3000,261312,35.215884,-99.87329,14932,ERICK DISPOSAL WELL INC                 ,                                                                                       ,
9,20301,9,32,09N,25W,HEAD                          ,1,AC,    ,SE  ,NW  ,NW  ,2D ,800,4000,6/21/12,GRANITE WASH                            ,3750,4150,3000,261312,35.215884,-99.87329,14932,ERICK DISPOSAL WELL INC                 ,                                                                                       ,
9,20856,9,34,11N,25W,NORTHEAST MAYFIELD            ,34,AC,    ,NE  ,NW  ,NW  ,2D ,1500,2500,2/8/12,                                        ,         ,         ,4405,423903,35.391804,-99.83794,17441,CHESAPEAKE OPERATING INC                ,                                                                                       ,
9,30000,9,15,09N,25W,DURAN                         ,1,AC,    ,SW  ,NE  ,NE  ,2D ,1000,3000,8/15/12,BROWN DOLOMITE                          ,3690,3720,3615,392368,35.259446,-99.82686,22878,TDTM TRANSPORTS LLC                     ,                                                                                       ,
9,30000,9,15,09N,25W,DURAN                         ,1,AC,    ,SW  ,NE  ,NE  ,2D ,1000,3000,8/15/12,MISSOURIAN LIME                         ,6450,6480,3615,392368,35.259446,-99.82686,22878,TDTM TRANSPORTS LLC                     ,                                                                                       ,
57,20078,57,35,02N,25W,HARMON                        , 7-3   ,PA,    ,SW  ,SE  ,NE  ,2D ,1000,200,3/14/01,CANYON                                  ,3240,3255,3215,412262,34.602763,-99.7926,19777,LEWIS OIL CORPORATION                   ,                                                                                       ,
45,71,45,26,21N,24W,ELLEDGE                       ,1,AC,    ,C   ,NW  ,SE  ,2D ,1000,3250,9/19/11,PERMIAN WOLFAMP SAND                    ,4234,4334,4198,349522,36.266322,-99.7376,22044,FEMCO SWD INC                           ,                                                                                       ,
9,20466,9,13,10N,23W,WHITE                         , 1-13  ,AC,    ,NW  ,SW  ,NE  ,2D ,1500,5000,2/10/12,WOLFCAMP                                ,4408,5260,4258,396522,35.3447,-99.58361,17458,ODESSA OIL INVESTMENT CO INC            ,                                                                                       ,
45,21811,45,3,19N,22W,EHU                           , 14-3  ,AC,NE  ,SW  ,SE  ,SW  ,2R ,3000,3000,6/15/11,COTTAGE GROVE                           ,8060,8082,8017,402884,36.145917,-99.53605,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,21812,45,10,19N,22W,EHU                           , 6-10  ,AC,NE  ,SE  ,SE  ,NW  ,2R ,3000,3000,6/16/11,COTTAGE GROVE                           ,8070,8135,8050,402885,36.138665,-99.53381,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,21486,45,3,19N,22W,WARD                          , 1-3   ,TM,C   ,C   ,SE  ,SE  ,2R ,3000,3000,7/26/04,COTTAGE GROVE                           ,8024,8045,7911,402881,36.146371,-99.52655,20166,KERR-MCGEE OIL & GAS ONSHORE LP         ,                                                                                       ,
45,30015,45,3,19N,22W,GUY H. DOUGLAS                , 1-3   ,TM,C   ,C   ,SE  ,NE  ,2R ,3000,3000,7/19/06,COTTAGE GROVE                           ,8052,8067,8000,402878,36.153622,-99.52655,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,21535,45,15,18N,22W,DCCGU                         ,2,TM,S/2 ,NE  ,SE  ,SE  ,2R ,2500,1250,4/30/07,COTTAGE GROVE                           ,8515,8530,8400,404955,36.031252,-99.52543,1259,LARIO OIL AND GAS COMPANY               ,                                                                                       ,
45,21444,45,23,18N,22W,DCCGU                         ,4,TM,C   ,W2  ,NW  ,NW  ,2R ,2500,1250,4/30/07,COTTAGE GROVE                           ,8500,8520,8350,404956,36.026691,-99.52318,1259,LARIO OIL AND GAS COMPANY               ,                                                                                       ,
45,21290,45,23,18N,22W,DCCGU                         ,6,AC,    ,SW  ,NE  ,SW  ,2R ,2500,1250,5/31/12,COTTAGE GROVE                           ,8520,8543,8400,405141,36.018533,-99.51872,1259,LARIO OIL AND GAS COMPANY               ,                                                                                       ,
45,50011,45,2,19N,22W,WILSON                        , 2-2   ,TM,C   ,C   ,SE  ,NW  ,2R ,3000,3000,7/26/04,COTTAGE GROVE                           ,8033,8048,7990,402883,36.153594,-99.51762,20166,KERR-MCGEE OIL & GAS ONSHORE LP         ,                                                                                       ,
45,50014,45,11,19N,22W,SOBER                         , 1-11  ,TM,    ,C   ,SE  ,NW  ,2R ,3000,2000,7/18/06,COTTAGE GROVE                           ,8077,8089,7987,402880,36.139091,-99.51762,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,20993,45,26,18N,22W,DCCGU                         ,8,TM,    ,    ,    ,C/NW,2R ,2500,1250,3/25/98,COTTAGE GROVE                           ,8536,8554,8400,404954,36.006749,-99.51537,1259,LARIO OIL AND GAS COMPANY               ,                                                                                       ,
45,35219,45,2,19N,22W,W.A. CLIFT                    , 1-2   ,AC,    ,C   ,SE  ,SE  ,2R ,3000,2000,12/21/10,COTTAGE GROVE                           ,8066,8086,8037,402876,36.146343,-99.50868,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,50010,45,2,19N,22W,WILSON                        , 1-2   ,AC,    ,    ,SE  ,NE  ,2R ,3000,3000,12/14/10,COTTAGE GROVE                           ,8017,8031,7975,402882,36.153594,-99.50868,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,21817,45,12,19N,22W,EHU                           , 6-12  ,TM,NE  ,SW  ,SE  ,NW  ,2R ,3000,3000,7/26/04,COTTAGE GROVE                           ,7950,8020,7940,402886,36.138607,-99.50031,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
45,20091,45,1,19N,22W,JOHN HUEN                     , 2-1   ,TM,C   ,C   ,SE  ,SW  ,2R ,3000,3000,7/26/04,COTTAGE GROVE                           ,7994,8010,7950,402879,36.146312,-99.49976,20166,KERR-MCGEE OIL & GAS ONSHORE LP         ,                                                                                       ,
45,50009,45,1,19N,22W,CLIFT                         , 2-1   ,TM,C   ,C   ,SE  ,NW  ,2R ,3000,2000,5/23/06,COTTAGE GROVE                           ,7969,7983,7864,402877,36.153563,-99.49976,22029,QUANTUM RESOURCES MANAGEMENT LLC        ,                                                                                       ,
43,22345,43,8,19N,19W,IOCHEM                        ,1,AC,    ,SE  ,NE  ,NE  ,2D ,1500,20000,12/21/10,BROWN DOLOMIT(ADMIRE                    ,3802,4972,3650,399071,36.142155,-99.24225,16346,IOCHEM CORPORATION                      ,                                                                                       ,
75,21745,75,19,07N,17W,HOBART PONTOTOC VIOLA UNIT    ,206,TM,    ,C   ,SW  ,NE  ,2R ,300,4500,12/1/95,PONTOTOC-VIOLA LIME                     ,1165,1275,1130,372124,35.06789,-99.03154,19614,BROAD STREET FINANCIAL COMPANY          ,                                                                                       ,
75,21746,75,19,07N,17W,HOBART PONTOTOC VIOLA UNIT    ,207,TM,C   ,NE  ,NW  ,NE  ,2R ,300,4500,7/5/95,PONTOTOC-VIOLA LIME                     ,1139,1326,1130,372123,35.072423,-99.03044,19614,BROAD STREET FINANCIAL COMPANY          ,                                                                                       ,
75,21760,75,19,07N,17W,HOBART PONTOTOC VIOLA UNIT    , 208A  ,TM,    ,    ,NE  ,SE  ,2R ,300,4500,4/8/96,PONTOTOC VIOLA                          ,1052,1230,1020,372125,35.064263,-99.02713,13765,TRANSAMERICAN ENERGY LTD                ,                                                                                       ,
43,20072,43,1,17N,17W,RIGGS                         ,1,TM,    ,    ,SE  ,NW  ,2D ,1000,3300,6/10/08,PERMO-PENN                              ,3848,6965,3800,392803,35.980238,-98.96676,22338,RAUHS FRAC SERVICE LTD                  ,                                                                                       ,
39,20606,39,20,12N,16W,TRAVIS                        , 1-20  ,PA,    ,C   ,S/2 ,NE  ,2D ,3000,5000,3/2/99,BROWN DOLOMITE                          ,4040,4650,7300,396891,35.504961,-98.90961,20309,M B OILFIELD SERVICES CORP              ,                                                                                       ,
43,20247,43,27,19N,15W,HUCMAC WATERFLOOD UNIT        , 5-1   ,TM,    ,    ,SW  ,SW  ,2R ,3000,2000,12/2/09,MORROW                                  ,9063,9070,9000,411813,36.08888,-98.79279,20668,RED HAWK RESOURCES INC                  ,                                                                                       ,
43,20283,43,35,19N,15W,HUCMAC WATERLOOD UNIT         , 18-1  ,AC,    ,    ,SW  ,NW  ,2R ,3000,3000,12/21/09,MORROW                                  ,9075,9090,9000,412110,36.0816,-98.77495,20668,RED HAWK RESOURCES INC                  ,                                                                                       ,
39,20708,39,31,12N,14W,REPP                          ,1,PA,SW  ,SW  ,NE  ,SW  ,2D ,1250,4000,9/23/02,BROWN DOLOMITE                          ,2910,4550,2905,406073,35.468937,-98.7229,20309,M B OILFIELD SERVICES CORP              ,                                                                                       ,
39,20348,39,26,12N,14W,CARTWRIGHT UNIT               ,1,AC,    ,    ,  C ,NW  ,2D ,1500,3000,8/1/12,BROWN DOLOMITE                          ,4055,4533,4050,401879,35.490084,-98.65253,22044,FEMCO SWD INC                           ,                                                                                       ,
3,21404,3,34,25N,12W,NORTH CARMEN RED FORK UNIT    ,1,AC,    ,NE  ,SW  ,SW  ,2R ,2000,750,8/17/11,RED FORK                                ,6015,6034,5950,405302,36.59666,-98.48296,22867,PARADIGM PETROLEUM CORPORATION          ,                                                                                       ,
3,21404,3,34,25N,12W,NORTH CARMEN RED FORK UNIT    ,1,AC,    ,NE  ,SW  ,SW  ,2R ,3500,750,8/17/11,RED FORK                                ,6015,6034,5965,423456,36.59666,-98.48296,22867,PARADIGM PETROLEUM CORPORATION          ,                                                                                       ,
3,21403,3,34,25N,12W,NORTH CARMEN RED FORK UNIT    ,3,PA,C   ,S/2 ,SW  ,SE  ,2R ,2000,750,3/31/03,RED FORK                                ,6028,6049,5980,405303,36.595754,-98.47509,19752,PRIMEXX OPERATING CORPORATION           ,                                                                                       ,
3,21223,3,3,24N,12W,NORTH CARMEN RED FORK UNIT    ,9,AC,    ,    ,NW  ,NE  ,2R ,2000,750,9/5/07,RED FORK                                ,6041,6066,5974,405306,36.591824,-98.46918,22867,PARADIGM PETROLEUM CORPORATION          ,                                                                                       ,
3,21242,3,3,24N,12W,NORTH CARMEN RED FORK UNIT    ,8,AC,    ,E2  ,NE  ,NE  ,2R ,2000,750,8/30/07,RED FORK                                ,6057,6066,5998,405305,36.591824,-98.46356,22867,PARADIGM PETROLEUM CORPORATION          ,                                                                                       ,
3,21252,3,35,25N,12W,NORTH CARMEN RED FORK UNIT    ,5,TM,    ,SE  ,SE  ,SW  ,2R ,2000,750,10/30/97,RED FORK                                ,6039,6059,5995,405304,36.594868,-98.46044,19752,PRIMEXX OPERATING CORPORATION           ,                                                                                       ,
11,20283,11,35,17N,12W,BIG MEDICINE                  , 1-SWD ,AC,    ,SW  ,NE  ,NE  ,2D ,1000,5000,1/13/12,MORROW                                  ,3905,3915,3887,414370,35.910506,-98.44428,22942,LASSO OPERATING LLC                     ,                                                                                       ,
11,20283,11,35,17N,12W,BIG MEDICINE                  , 1-SWD ,AC,    ,SW  ,NE  ,NE  ,2D ,1950,5000,1/13/12,CHASE                                   ,3905,3915,3887,422941,35.910506,-98.44428,22942,LASSO OPERATING LLC                     ,                                                                                       ,
3,20154,3,1,23N,12W,SINGREE                       , A-1   ,PA,    ,C   ,NW  ,SE  ,2D ,1500,3000,7/14/99,ENDICOTT                                ,4788,4798,4738,398364,36.497598,-98.43324,3186,CONTINENTAL RESOURCES INC               ,                                                                                       ,
3,20154,3,1,23N,12W,SINGREE                       , A-1   ,PA,    ,C   ,NW  ,SE  ,2D ,1500,3000,7/14/99,TONKAWA COTTAGE GROV                    ,5120,5670,4738,398364,36.497598,-98.43324,3186,CONTINENTAL RESOURCES INC               ,                                                                                       ,
3,30104,3,31,24N,11W,LAMLE-DAVIDSON                ,1,TM,    ,C   ,SE  ,NW  ,2D ,0,0,          ,                                        ,         ,         ,           ,426392,36.515741,-98.41977,20105,TRI-UNITY INC                           ,                                                                                       ,
11,20178,11,7,16N,11W,FARIS-SCHNEIDER               ,1,AC,    ,SW  ,NE  ,SW  ,2D ,1500,5000,3/19/12,CHASE                                   ,3420,3480,3390,405850,35.874769,-98.41386,22942,LASSO OPERATING LLC                     ,                                                                                       ,
33,1468,33,17,03S,11W,ORTH                          ,9,AC,    ,NW  ,SE  ,NE  ,2R ,600,1500,7/12/11,CISCO                                   ,1588,1601,1565,378877,34.299757,-98.36852,22503,KURAN RESOURCES INC                     ,                                                                                       ,
11,21636,11,15,16N,11W,WATONGA                       ,1,PA,    ,NW  ,NW  ,SW  ,2D ,2000,5000,          ,ENDICOTT                                ,6000,6550,6000,394694,35.862058,-98.36495,7250,ARROW OIL & GAS INC                     ,                                                                                       ,
11,20496,11,3,18N,11W,WEBER                         , 1-3   ,AC,    ,    ,C   ,NE  ,2D ,1000,1000,6/26/07,TONKAWA  HOOVER ETC.                    ,4820,6550,5453,396746,36.069119,-98.35628,22182,LINN OPERATING INC                      ,                                                                                       ,
3,21647,3,26,28N,11W,TULLIS                        , 2-26  ,AC,    ,W/2 ,SE  ,SW  ,2R ,2500,1500,6/25/12,RED FORK                                ,5038,5055,4988,429951,36.871368,-98.35345,3186,CONTINENTAL RESOURCES INC               ,                                                                                       ,
3,20786,3,24,27N,11W,NE CHEROKEE UNIT              ,85,AC,    ,C   ,SE  ,NE  ,2R ,1500,1000,8/7/07,RED FORK                                ,5142,5170,5000,51652,36.806113,-98.3264,22182,LINN OPERATING INC                      ,                                                                                       ,
3,35338,3,19,28N,10W,COBBETT-HEIRS                 , 1-19  ,AC,    ,C   ,SW  ,SE  ,2R ,2450,1500,6/25/12,TONKAWA             /SAND/              ,4966,4160,4916,429950,36.88587,-98.31289,22281,SANDRIDGE EXPLORATION & PRODUCTION LLC  ,                                                                                       ,
3,35345,3,20,28N,10W,CORYELL                       , 1-20  ,AC,    ,C   ,SE  ,NW  ,2R ,2450,1500,6/25/12,RED FORK                                ,4948,4952,4898,429952,36.893116,-98.29938,22281,SANDRIDGE EXPLORATION & PRODUCTION LLC  ,                                                                                       ,
17,20084,17,29,14N,10W,"RHODES UNIT ""A""               ", 1-29  ,AC,NW  ,NE  ,SE  ,NW  ,2D ,1200,5000,3/22/12,PONTOTOC                                ,3480,4880,3600,403867,35.662921,-98.28945,22785,J-PO LLC                                ,                                                                                       ,
31,2566,31,32,03N,10W,GLASGOW                       ,1,TM,C   ,NW  ,SE  ,SW  ,2D ,0,0,          ,                                        ,         ,         ,           ,448843,34.68365,-98.27623,21641,JUNG GREG                               ,                                                                                       ,
15,35797,15,28,06N,10W,HOLMBERG                      ,1,AC,    ,NW  ,NE  ,NW  ,2D ,900,100,8/26/08,PERMIAN                                 ,1768,1800,0,371175,34.970145,-98.26298,16793,TRACE OIL & GAS LP                      ,                                                                                       ,
15,35828,15,28,06N,10W,BECKER                        , A-1   ,AC,    ,SE  ,SE  ,NE  ,2R ,900,1000,10/30/07,FORTUNA                                 ,1858,2370,1810,423097,34.964706,-98.25196,22182,LINN OPERATING INC                      ,                                                                                       ,
15,22481,15,27,06N,10W,RICHARD                       ,102,AC,    ,W2  ,SW  ,NW  ,2R ,1100,2000,1/7/08,FORTUNA  NOBLE  OLSON                   ,2366,3400,2329,422939,34.965587,-98.24975,22182,LINN OPERATING INC                      ,                                                                                       ,
15,22481,15,27,06N,10W,RICHARD                       ,102,AC,    ,W2  ,SW  ,NW  ,2R ,1100,2000,1/7/08,FORTUNA  NOBLE  OLSON                   ,2366,3400,3348,422939,34.965587,-98.24975,22182,LINN OPERATING INC                      ,                                                                                       ,
15,22487,15,27,06N,10W,FARWELL                       ,104,AC,N/2 ,N/2 ,NW  ,SW  ,2R ,1100,2000,5/25/12,FORTUNA  NOBLE  OLSON                   ,2378,3537,2345,422938,34.961961,-98.24864,22182,LINN OPERATING INC                      ,                                                                                       ,
15,22487,15,27,06N,10W,FARWELL                       ,104,AC,N/2 ,N/2 ,NW  ,SW  ,2R ,1100,2000,5/25/12,FORTUNA  NOBLE  OLSON                   ,2378,3537,3362,422938,34.961961,-98.24864,22182,LINN OPERATING INC                      ,                                                                                       ,
15,22488,15,27,06N,10W,FARWELL                       ,105,AC,W/2 ,W/2 ,NW  ,SW  ,2R ,1100,2000,7/14/10,FORTUNA  NOBLE OLSON                    ,2345,3378,2313,422937,34.961961,-98.24864,22182,LINN OPERATING INC                      ,                                                                                       ,
15,22488,15,27,06N,10W,FARWELL                       ,105,AC,W/2 ,W/2 ,NW  ,SW  ,2R ,1100,2000,7/14/10,FORTUNA  NOBLE OLSON                    ,2345,3378,3337,422937,34.961961,-98.24864,22182,LINN OPERATING INC                      ,                                                                                       ,
15,50115,15,27,06N,10W,RICHARD                       ,3,AC,    ,NE  ,SW  ,NW  ,2R ,950,1000,6/10/11,FORTUNA & NOBLE OLSON                   ,1953,3500,1905,422929,34.966494,-98.24754,22182,LINN OPERATING INC                      ,                                                                                       ,
15,35731,15,27,06N,10W,FARWELL BECKER                ,3,AC,    ,    ,    ,SW  ,2R ,950,1000,10/30/07,FORTUNA                                 ,1960,2450,1910,423062,34.960148,-98.24644,22182,LINN OPERATING INC                      ,                                                                                       ,
15,22486,15,27,06N,10W,THOMPSON                      ,107,AC,SW  ,SW  ,SE  ,NW  ,2R ,900,2000,10/31/07,FORTUNA  NOBLE OLSON                    ,1906,3432,1859,422936,34.964228,-98.24589,22182,LINN OPERATING INC                      ,                                                                                       ,
15,22486,15,27,06N,10W,THOMPSON                      ,107,AC,SW  ,SW  ,SE  ,NW  ,2R ,900,2000,10/31/07,FORTUNA  NOBLE OLSON                    ,1906,3432,3374,422936,34.964228,-98.24589,22182,LINN OPERATING INC                      ,                                                                                       ,
15,37422,15,2,05N,10W,MARGARET                      ,2,AC,    ,NW  ,NE  ,NW  ,2D ,1400,550,9/30/10,NOBLE OLSON                             ,3414,3426,3380,397286,34.941083,-98.2277,18685,CHACO ENERGY COMPANY                    ,                                                                                       ,
15,20643,15,26,10N,10W,FRANK DUNCAN                  , 1-26  ,AC,    ,C   ,N2  ,NE  ,2D ,3000,2000,1/23/12,UN-NAMED SALT WATER                     ,4650,4780,4578,354527,35.318205,-98.22213,22044,FEMCO SWD INC                           ,                                                                                       ,
33,20489,33,2,02S,10W,BURNAUGH                      , 1-JAME,PA,    ,NE  ,NE  ,SE  ,2D ,0,0,          ,PRIDDY                                  ,2172,2225,2100,120187,34.412045,-98.20911,9998,OTC-OCC NO ASSIGNED                     ,                                                                                       ,
15,36512,15,36,06N,10W,W CEMENT UNIT (LINDSEY 18)    , 7-18  ,AC,    ,SW  ,SE  ,SE  ,2R ,0,0,8/3/09,                                        ,         ,         ,           ,433867,34.942867,-98.20126,14156,CITATION OIL & GAS CORPORATION          ,                                                                                       ,
3,21107,3,20,28N,09W,GRAY                          , 1A    ,AC,    ,SE  ,SW  ,NW  ,2R ,500,1000,8/28/12,REDFORK                                 ,4930,4941,4900,417467,36.892128,-98.19462,4030,CHAMPLIN EXPLORATION INC                ,                                                                                       ,
31,373,31,18,02N,09W,NEASE                         ,1,TM,    ,    ,NW  ,SW  ,2D ,600,350,          ,GRANITE WASH                            ,1908,2113,1771,356947,34.642641,-98.19172,17288,PEARL PETROLEUM INC                     ,                                                                                       ,
3,21081,3,20,28N,09W,HOLLAND                       , 1-20  ,AC,    ,NW  ,NE  ,SE  ,2R ,500,1000,8/28/12,REDFORK                                 ,4986,4999,4950,417469,36.890316,-98.18333,4030,CHAMPLIN EXPLORATION INC                ,                                                                                       ,
3,163,3,21,28N,09W,CHRISTENSEN                   ,1,AC,    ,C   ,NW  ,NW  ,2R ,500,1000,8/28/12,REDFORK                                 ,4984,4994,4950,417468,36.896636,-98.17772,4030,CHAMPLIN EXPLORATION INC                ,                                                                                       ,
33,20740,33,5,01S,09W,GUNN                          ,3,TM,    ,SE  ,NW  ,SE  ,2R ,750,500,          ,PENN  LIME                              ,2482,2494,2440,423897,34.497183,-98.16108,19737,C & R PETROLEUM COMPANY                 ,                                                                                       ,
15,36431,15,4,05N,09W,HOPPIN                        ,3,AC,    ,SW  ,NW  ,NE  ,2D ,1000,1000,1/31/12,FORTUNA  CISCO NOBLE                    ,2006,3976,1975,347203,34.939137,-98.15276,20924,CEMOIL INC                              ,                                                                                       ,
33,20890,33,4,01S,09W,COKER                         ,1,PA,    ,NW  ,SE  ,NW  ,2D ,300,400,4/7/99,CISCO                                   ,2146,2162,2079,382082,34.502587,-98.15018,11671,COKER OIL COMPANY                       ,                                                                                       ,
17,23507,17,10,12N,09W,CALUMET                       ,1,AC,N2  ,SW  ,SE  ,SW  ,2D ,1700,6000,3/13/12,PENNSYLVANIAN                           ,4254,         ,4210,425478,35.523841,-98.14425,20627,ZP DISPOSAL SYSTEMS LLC                 ,                                                                                       ,
17,23507,17,10,12N,09W,CALUMET                       ,1,AC,N2  ,SW  ,SE  ,SW  ,2D ,1700,6000,3/13/12,TONKAWA                                 ,         ,7593,4210,425478,35.523841,-98.14425,20627,ZP DISPOSAL SYSTEMS LLC                 ,                                                                                       ,
